"","Open","High","Low","Close","Volume","Ex-Dividend","Split Ratio","Adj. Open","Adj. High","Adj. Low","Adj. Close","Adj. Volume"
"1970-08-20",65.75,65.87,64.5,65.25,70700,0,1,1.090737794297,1.0927284944539,1.0700013343294,1.0824432103099,2262400
"1970-08-21",65.62,66.62,65.62,66.5,119100,0,1,1.0885812024603,1.1051703704344,1.0885812024603,1.1031796702775,3811200
"1970-08-24",66.5,67.75,66.25,67,132600,0,1,1.1031796702775,1.1239161302452,1.099032378284,1.1114742542646,4243200
"1970-08-25",66.75,66.75,65.5,66.38,88800,0,1,1.1073269622711,1.1073269622711,1.0865905023034,1.1011889701207,2841600
"1970-08-26",66.38,66.5,66,66.25,95100,0,1,1.1011889701207,1.1031796702775,1.0948850862905,1.099032378284,3043200
"1970-08-27",66.25,66.25,65.5,65.75,80800,0,1,1.099032378284,1.099032378284,1.0865905023034,1.090737794297,2585600
"1970-08-28",65.75,66.38,65.75,66.13,41400,0,1,1.090737794297,1.1011889701207,1.090737794297,1.0970416781271,1324800
"1970-08-31",66.13,66.13,65.25,65.87,33700,0,1,1.0970416781271,1.0970416781271,1.0824432103099,1.0927284944539,1078400
"1970-09-01",65.75,65.75,65.13,65.25,35200,0,1,1.090737794297,1.090737794297,1.080452510153,1.0824432103099,1126400
"1970-09-02",65.13,65.13,64.5,64.62,52000,0,1,1.080452510153,1.080452510153,1.0700013343294,1.0719920344862,1664000
"1970-09-03",64.87,65.62,64.87,65.5,52800,0,1,1.0761393264798,1.0885812024603,1.0761393264798,1.0865905023034,1689600
"1970-09-04",65.5,67.25,65.5,67,64200,0,1,1.0865905023034,1.1156215462581,1.0865905023034,1.1114742542646,2054400
"1970-09-08",66.75,66.75,65.38,65.38,69900,0,1,1.1073269622711,1.1073269622711,1.0845998021466,1.0845998021466,2236800
"1970-09-09",65.38,65.62,63.62,65.25,64900,0,1,1.0845998021466,1.0885812024603,1.0554028665121,1.0824432103099,2076800
"1970-09-10",65.25,65.62,65,65.25,36900,0,1,1.0824432103099,1.0885812024603,1.0782959183164,1.0824432103099,1180800
"1970-09-11",65.25,65.5,64.62,64.75,55000,0,1,1.0824432103099,1.0865905023034,1.0719920344862,1.0741486263229,1760000
"1970-09-14",64.75,65.38,64.25,65,56400,0,1,1.0741486263229,1.0845998021466,1.0658540423358,1.0782959183164,1804800
"1970-09-15",65,65.25,64,64,35200,0,1,1.0782959183164,1.0824432103099,1.0617067503423,1.0617067503423,1126400
"1970-09-16",64,64.5,63.62,64.38,30700,0,1,1.0617067503423,1.0700013343294,1.0554028665121,1.0680106341725,982400
"1970-09-17",64.75,65.87,64.75,65.5,40700,0,1,1.0741486263229,1.0927284944539,1.0741486263229,1.0865905023034,1302400
"1970-09-18",65.5,65.75,64.75,64.87,40900,0,1,1.0865905023034,1.090737794297,1.0741486263229,1.0761393264798,1308800
"1970-09-21",64.87,65.25,63.5,63.5,61000,0,1,1.0761393264798,1.0824432103099,1.0534121663553,1.0534121663553,1952000
"1970-09-22",63.5,63.62,62.62,63.25,71400,0,1,1.0534121663553,1.0554028665121,1.038813698538,1.0492648743617,2284800
"1970-09-23",63.62,65.75,63.62,65.13,84800,0,1,1.0554028665121,1.090737794297,1.0554028665121,1.080452510153,2713600
"1970-09-24",65.13,66.25,65.13,65.87,65700,0,1,1.080452510153,1.099032378284,1.080452510153,1.0927284944539,2102400
"1970-09-25",65.87,66.13,65.62,65.87,65000,0,1,1.0927284944539,1.0970416781271,1.0885812024603,1.0927284944539,2080000
"1970-09-28",65.87,66.38,65.75,66.38,38400,0,1,1.0927284944539,1.1011889701207,1.090737794297,1.1011889701207,1228800
"1970-09-29",66.38,67,65.87,67,70100,0,1,1.1011889701207,1.1114742542646,1.0927284944539,1.1114742542646,2243200
"1970-09-30",67,67.62,66.62,67,42900,0,1,1.1114742542646,1.1217595384085,1.1051703704344,1.1114742542646,1372800
"1970-10-01",67,67.13,66.5,66.62,38700,0,1,1.1114742542646,1.1136308461012,1.1031796702775,1.1051703704344,1238400
"1970-10-02",66.62,67.75,66.62,67.75,55900,0,1,1.1051703704344,1.1239161302452,1.1051703704344,1.1239161302452,1788800
"1970-10-05",67.87,69.38,67.87,69.25,77300,0,1,1.1259068304021,1.150956474043,1.1259068304021,1.1487998822063,2473600
"1970-10-06",69.25,70.13,69.13,70.13,89600,0,1,1.1487998822063,1.1633983500235,1.1468091820494,1.1633983500235,2867200
"1970-10-07",70.13,70.25,69.25,70.25,56100,0,1,1.1633983500235,1.1653890501804,1.1487998822063,1.1653890501804,1795200
"1970-10-08",70.25,70.38,69.38,69.38,72100,0,1,1.1653890501804,1.167545642017,1.150956474043,1.150956474043,2307200
"1970-10-09",69.25,69.25,67.5,67.5,51700,0,1,1.1487998822063,1.1487998822063,1.1197688382516,1.1197688382516,1654400
"1970-10-12",67.13,67.13,66.13,66.75,33500,0,1,1.1136308461012,1.1136308461012,1.0970416781271,1.1073269622711,1072000
"1970-10-13",66.75,66.87,66,66.62,29800,0,1,1.1073269622711,1.109317662428,1.0948850862905,1.1051703704344,953600
"1970-10-14",66.62,67.62,66.62,67.62,29400,0,1,1.1051703704344,1.1217595384085,1.1051703704344,1.1217595384085,940800
"1970-10-15",67.87,69.62,67.87,69.25,72000,0,1,1.1259068304021,1.1549378743567,1.1259068304021,1.1487998822063,2304000
"1970-10-16",69.25,70,69,69.87,79500,0,1,1.1487998822063,1.1612417581869,1.1446525902128,1.1590851663503,2544000
"1970-10-19",69.87,69.87,68.13,68.13,58400,0,1,1.1590851663503,1.1590851663503,1.1302200140753,1.1302200140753,1868800
"1970-10-20",68.13,68.75,67.87,68.5,35600,0,1,1.1302200140753,1.1405052982193,1.1259068304021,1.1363580062257,1139200
"1970-10-21",68.62,69.62,68.62,68.75,35700,0,1,1.1383487063826,1.1549378743567,1.1383487063826,1.1405052982193,1142400
"1970-10-22",68.75,69,68.5,68.87,25800,0,1,1.1405052982193,1.1446525902128,1.1363580062257,1.1424959983762,825600
"1970-10-23",69.13,69.87,69.13,69.75,42900,0,1,1.1468091820494,1.1590851663503,1.1468091820494,1.1570944661934,1372800
"1970-10-26",69.75,70,69.13,69.13,38600,0,1,1.1570944661934,1.1612417581869,1.1468091820494,1.1468091820494,1235200
